"ID","Tramite","Campaña","Total_tramites_por_campaña","Numero_semanas_por_campaña","Promedio_tramites_por_semana","Mediana","Desviacion_Estandar","Rango_Intercuantil","Q1","Q3"
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","CAI_2017_2018",21884,22,994.73,915.5,485.5,430.5,786.75,1217.25
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","CAI_2018",15167,14,1083.36,1050.5,180.14,216,970,1186
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","CAI_2019",12487,14,891.93,1006.5,315.77,399.75,718.5,1118.25
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","CAI_2020_2021",24460,23,1063.48,1005,501.15,671.5,805,1476.5
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","CAP_2018",3072,7,438.86,238,385.67,442.5,234.5,677
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","CAP_2018_2019",48433,38,1274.55,1112.5,1155.36,1443.5,360.75,1804.25
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","CAP_2019_2020",20368,20,1018.4,1093.5,646.14,1086,415,1501
"BAJA CALIFORNIA-DTO-1","ENTREGA_CPV","Proceso Electoral Federal",21626,27,800.96,443,767.23,910.5,220.5,1131
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","CAI_2017_2018",25056,22,1138.91,893.5,676.2,427.25,702.25,1129.5
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","CAI_2018",15666,14,1119,1108,111.79,87,1081.5,1168.5
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","CAI_2019",14001,14,1000.07,1047,127.67,127.75,943.75,1071.5
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","CAI_2020_2021",28628,23,1244.7,1282,536.72,617.5,817,1434.5
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","CAP_2018",4618,7,659.71,791,503.3,865,221,1086
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","CAP_2018_2019",49031,38,1290.29,1158.5,975.32,500,825.5,1325.5
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","CAP_2019_2020",20467,20,1023.35,1076,541.94,610.75,808.5,1419.25
"BAJA CALIFORNIA-DTO-1","TOTAL_SOLICITUDES","Proceso Electoral Federal",10108,27,374.37,257,381.02,242,205,447
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","CAI_2017_2018",24709,22,1123.14,1147.5,530.64,491.5,903.5,1395
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","CAI_2018",20334,14,1452.43,1449,103.7,84.5,1391.25,1475.75
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","CAI_2019",13295,14,949.64,1052.5,319.5,338.5,820.75,1159.25
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","CAI_2020_2021",18503,23,804.48,861,312.72,440.5,622,1062.5
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","CAP_2018",3588,7,512.57,315,483.14,397,280.5,677.5
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","CAP_2018_2019",51469,38,1354.45,1234,1408.65,1335.75,348,1683.75
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","CAP_2019_2020",18502,20,925.1,949,607.11,1130.25,327.25,1457.5
"BAJA CALIFORNIA-DTO-2","ENTREGA_CPV","Proceso Electoral Federal",21391,27,792.26,504,710.68,782.5,282.5,1065
"BAJA CALIFORNIA-DTO-2","TOTAL_SOLICITUDES","CAI_2017_2018",29013,22,1318.77,1164,500.91,297.25,1050,1347.25
"BAJA CALIFORNIA-DTO-2","TOTAL_SOLICITUDES","CAI_2018",21328,14,1523.43,1538.5,128.49,145.5,1452,1597.5
"BAJA CALIFORNIA-DTO-2","TOTAL_SOLICITUDES","CAI_2019",13656,14,975.43,1012,113.85,160,895.75,1055.75
